species_input	chosen_platform	run_accession	sample_accession	study_accession	scientific_name	tax_id	instrument_platform	instrument_model	library_strategy	library_source	library_selection	library_layout	base_count	read_count	study_title	sample_title	experiment_title
Arabidopsis_thaliana	PACBIO_SMRT	DRR377385	SAMD00492291	PRJDB12660	Arabidopsis thaliana	3702	PACBIO_SMRT	Sequel II	FL-cDNA	TRANSCRIPTOMIC	cDNA	SINGLE	72525759420	35051206	Identification of full-length transcript in Arabidopsis seedling	PacBio ISO-seq of Arabiodpsis thaliana seedling: upf1-1 mutant, dark condition	Sequel II sequencing: Sequel II sequencing of BioSample_0004
Arabidopsis_thaliana	PACBIO_SMRT	DRR377382	SAMD00492288	PRJDB12660	Arabidopsis thaliana	3702	PACBIO_SMRT	Sequel II	FL-cDNA	TRANSCRIPTOMIC	cDNA	SINGLE	66730497055	36499976	Identification of full-length transcript in Arabidopsis seedling	PacBio ISO-seq of Arabiodpsis thaliana seedling: wild-type (WT), blue-light irradation	Sequel II sequencing: Sequel II sequencing of BioSample_0001
Arabidopsis_thaliana	PACBIO_SMRT	SRR10611192	SAMN13510395	PRJNA594286	Arabidopsis thaliana	3702	PACBIO_SMRT	Sequel	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	43950679246	21531816	Analysis and comprehensive comparison of Pacbio and Nanopore-based RNA-sequencing in Arabidopsis transcriptome	Sample 1_Ath_mRNA_PacBio	Sequel sequencing: GSM4210380: Sample 1_Ath_mRNA_PacBio Arabidopsis thaliana RNA-Seq
Arabidopsis_thaliana	PACBIO_SMRT	SRR15233897	SAMN20362667	PRJNA749291	Arabidopsis thaliana	3702	PACBIO_SMRT	Sequel	RNA-Seq	TRANSCRIPTOMIC	PCR	SINGLE	38783987071	97934753	In vivo single-molecule RNA structure analysis reveals COOLAIR RNA structural diversity	Plant sample from Arabidopsis thaliana	Sequel sequencing: PacBio of Arabidopsis:Class I COOLAIR
Arabidopsis_thaliana	PACBIO_SMRT	ERR13999039	SAMEA117327460	PRJEB77203	Arabidopsis thaliana	3702	PACBIO_SMRT	Sequel II	RNA-Seq	OTHER	unspecified	SINGLE	24988723246	12494123	Col-Can Genome Data	Can-0_isoseq	Sequel II sequencing: Raw reads: Can-0_isoseq
Eschscholzia_californica	PACBIO_SMRT	SRR26075034	SAMN37318849	PRJNA1014041	Eschscholzia californica	3467	PACBIO_SMRT	Sequel IIe	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	SINGLE	7873059150	2433715	Eschscholzia californica Aurantiaca Orange King Gene Expression Profiling - E.cal Buds 1-2 mm r3 transcriptome	Eschscholzia californica Aurantiaca Orange King Gene Expression Profiling - E.cal Buds 1-2 mm r3	Sequel IIe sequencing: Eschscholzia californica Aurantiaca Orange King Gene Expression Profiling
Eschscholzia_californica	PACBIO_SMRT	SRR26075033	SAMN37318849	PRJNA1014041	Eschscholzia californica	3467	PACBIO_SMRT	Sequel IIe	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	SINGLE	6067065141	1721243	Eschscholzia californica Aurantiaca Orange King Gene Expression Profiling - E.cal Buds 1-2 mm r3 transcriptome	Eschscholzia californica Aurantiaca Orange King Gene Expression Profiling - E.cal Buds 1-2 mm r3	Sequel IIe sequencing: Eschscholzia californica Aurantiaca Orange King Gene Expression Profiling
Eschscholzia_californica	PACBIO_SMRT	SRR26075017	SAMN37318857	PRJNA1014021	Eschscholzia californica	3467	PACBIO_SMRT	Sequel IIe	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	SINGLE	5895664112	1857720	Eschscholzia californica Aurantiaca Orange King Plant 1.1 Transcriptome - E.cal buds #1.1 r5	Eschscholzia californica Aurantiaca Orange King Plant 1.1 Transcriptome - E.cal buds #1.1 r5	Sequel IIe sequencing: Eschscholzia californica Aurantiaca Orange King Plant1.1 Transcriptome
Eschscholzia_californica	PACBIO_SMRT	SRR26075007	SAMN37318879	PRJNA1014086	Eschscholzia californica	3467	PACBIO_SMRT	Sequel IIe	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	SINGLE	4785146101	1501063	Eschscholzia californica Aurantiaca Orange King Plant 1.1 Transcriptome - E.cal OL #1.1 r4	Eschscholzia californica Aurantiaca Orange King Plant 1.1 Transcriptome - E.cal OL #1.1 r4	Sequel IIe sequencing: Eschscholzia californica Aurantiaca Orange King Plant1.1 Transcriptome
Eschscholzia_californica	PACBIO_SMRT	SRR26075039	SAMN37318880	PRJNA1014048	Eschscholzia californica	3467	PACBIO_SMRT	Sequel IIe	RNA-Seq	TRANSCRIPTOMIC	RT-PCR	SINGLE	4238833127	1295737	Eschscholzia californica Aurantiaca Orange King Gene Expression Profiling - E.cal Buds > 3 mm r2 transcriptome	Eschscholzia californica Aurantiaca Orange King Gene Expression Profiling - E.cal Buds > 3 mm r2	Sequel IIe sequencing: Eschscholzia californica Aurantiaca Orange King Gene Expression Profiling
