species,accession,annotation
Cyclotella atomus,GCA_013187285.1,BRAKER
Cyclotella choctawhatcheeana,GCA_036939855.1,BRAKER
Conticribra guillardii,GCA_036939335.1,BRAKER
Conticribra weissflogii,GCA_036940025.1,BRAKER
Skeletonema menzelii,GCA_036940005.1,BRAKER
Skeletonema potamos,GCA_036940105.1,BRAKER
Discostella pseudostelligera,GCA_036940085.1,BRAKER
Discostella stelligera,GCA_036939735.1,BRAKER
Stephanodiscus triporus,GCA_036939755.1,BRAKER
Cyclostephanos invisitatus,GCA_036939675.1,BRAKER
Thalassiosira mediterranea,GCA_022925895.1,BRAKER
Cylindrotheca closterium,GCA_933822405.4,BRAKER
Pseudo-nitzschia multistriata,GCA_900660405.1,BRAKER
Mayamaea pseudoterrestris,GCA_027923505.1,BRAKER
Seminavis robusta,GCA_903772945.1,BRAKER
Fragilaria crotonensis,GCA_022925895.1,BRAKER
Asterionella formosa,GCA_002256025.1,BRAKER
Chaetoceros muelleri,GCA_019693545.1,BRAKER
Chaetoceros tenuissimus,GCA_021927905.1,BRAKER
