species,accession,annotation
Acorus americanus,586,Phytozome
Agave tequilana,924,Phytozome
Aquilegia coerulea,322,Phytozome
Arundo donax,1047,Phytozome
Beta vulgaris,782,Phytozome
Brassica rapa,714,Phytozome
Brocchinia micrantha,933,Phytozome
Capparis spinosa,851,Phytozome
Chasmanthium laxum,690,Phytozome
Citrus limon,831,Phytozome
Cleome violacea,585,Phytozome
Coffea arabica,871,Phytozome
Corylus avellana,858,Phytozome
Daucus carota,861,Phytozome
Dendrobium catenatum,GCA_002786265.1,Phytozome
Dioscorea alata,550,Phytozome
Eucalyptus grandis,891,Phytozome
Fragaria vesca,677,Phytozome
Glycine max,880,Phytozome
Gossypium hirsutum,695,Phytozome
Hydrocotyle leucocephala,768,Phytozome
Joinvillea ascendens,587,Phytozome
Lactuca sativa,LsPKU06,Phytozome
Lindenbergia philippensis,689,Phytozome
Malus domestica,WA_38_v1.0,Phytozome
Manihot esculenta,671,Phytozome
Mentha longifolia,Figshare,Phytozome
Miscanthus sinensis,497,Phytozome
Moringa oleifera,866,Phytozome
Musa acuminata,GCF_036884655.1,Phytozome
Myrothamnus flabellifolia,856,Phytozome
Nicotiana tabacum,945,Phytozome
Oryza sativa,499,Phytozome
Osyris compressa,823,Phytozome
Panicum virgatum,516,Phytozome
Pharus latifolius,680,Phytozome
Phoenix dactylifera,GCA_009389715.1,Phytozome
Setaria viridis,726,Phytozome
Sorghum bicolor,730,Phytozome
Thinopyrum intermedium,770,Phytozome
Ulmus americana,881,Phytozome
Vitis vinifera,Figshare,Phytozome
Yucca filamentosa,837,Phytozome
Zea mays,833,Phytozome
Zingiber officinale,GCF_018446385.1,Phytozome
