species,accession,annotation
Aaosphaeria arxii,GCF_010015735.1,RefSeq
Akanthomyces muscarius,GCF_028009165.1,RefSeq
Alternaria atra,GCF_907166805.1,RefSeq
Alternaria burnsii,GCF_013036055.1,RefSeq
Alternaria rosae,GCF_020736505.1,RefSeq
Amorphotheca resinae,GCF_003019875.1,RefSeq
Annulohypoxylon maeteangense,GCF_022496945.1,RefSeq
Annulohypoxylon truncatum,GCF_022578515.1,RefSeq
Apiospora aurea,GCF_038362705.1,RefSeq
Apiospora marii,GCF_038362585.1,RefSeq
Apiotrichum porosum,GCF_003942205.1,RefSeq
Aplosporella prunicola,GCF_010093885.1,RefSeq
Ascochyta rabiei,GCF_004011695.2,RefSeq
Aspergillus aculeatus,GCF_001890905.1,RefSeq
Aspergillus alliaceus,GCF_009176365.1,RefSeq
Aspergillus brunneoviolaceus,GCF_003184695.1,RefSeq
Aspergillus caelatus,GCF_009193585.1,RefSeq
Aspergillus campestris,GCF_002847485.1,RefSeq
Aspergillus candidus,GCF_002847045.1,RefSeq
Aspergillus chevalieri,GCF_016861735.1,RefSeq
Aspergillus clavatus,GCF_000002715.2,RefSeq
Aspergillus fijiensis,GCF_003184825.1,RefSeq
Aspergillus fischeri,GCF_000149645.3,RefSeq
Aspergillus glaucus,GCF_001890805.1,RefSeq
Aspergillus heteromorphus,GCF_003184545.1,RefSeq
Aspergillus homomorphus,GCF_003184865.1,RefSeq
Aspergillus ibericus,GCF_003184845.1,RefSeq
Aspergillus japonicus,GCF_003184785.1,RefSeq
Aspergillus lentulus,GCF_010724455.1,RefSeq
Aspergillus neoniger,GCF_003184625.1,RefSeq
Aspergillus piperis,GCF_003184755.1,RefSeq
Aspergillus puulaauensis,GCF_016861865.1,RefSeq
Aspergillus saccharolyticus,GCF_003184585.1,RefSeq
Aspergillus sclerotioniger,GCF_003184525.1,RefSeq
Aspergillus steynii,GCF_002849105.1,RefSeq
Aspergillus sydowii,GCF_001890705.1,RefSeq
Aspergillus tubingensis,GCF_013340325.1,RefSeq
Aspergillus udagawae,GCF_001078395.1,RefSeq
Aspergillus uvarum,GCF_003184745.1,RefSeq
Aspergillus vadensis,GCF_003184925.1,RefSeq
Aspergillus versicolor,GCF_001890125.1,RefSeq
Aspergillus viridinutans,GCF_018404265.1,RefSeq
Aspergillus wentii,GCF_001890725.1,RefSeq
Aureobasidium melanogenum,GCF_000721775.1,RefSeq
Aureobasidium namibiae,GCF_000721765.1,RefSeq
Aureobasidium pullulans,GCF_000721785.1,RefSeq
Babjeviella inositovora,GCF_001661335.1,RefSeq
Batrachochytrium dendrobatidis,GCF_000203795.2,RefSeq
Beauveria bassiana,GCF_000280675.1,RefSeq
Bipolaris oryzae,GCF_000523455.1,RefSeq
Bipolaris victoriae,GCF_000527765.1,RefSeq
Bipolaris zeicola,GCF_000523435.1,RefSeq
Boeremia exigua,GCF_020726555.1,RefSeq
Botrytis byssoidea,GCF_014898295.1,RefSeq
Botrytis cinerea,GCF_000143535.2,RefSeq
Botrytis deweyae,GCF_014898535.1,RefSeq
Botrytis fragariae,GCF_013461495.1,RefSeq
Botrytis porri,GCF_014898465.1,RefSeq
Botrytis sinoallii,GCF_014898435.1,RefSeq
Canariomyces notabilis,GCF_033297395.1,RefSeq
Candida albicans,GCF_000182965.3,RefSeq
Candida jiufengensis,GCF_024610255.1,RefSeq
Candida orthopsilosis,GCF_000315875.1,RefSeq
Candida parapsilosis,GCF_000182765.1,RefSeq
Capronia coronata,GCF_000585585.1,RefSeq
Capronia epimyces,GCF_000585565.1,RefSeq
Cercospora kikuchii,GCF_019650295.1,RefSeq
Chaetomium fimeti,GCF_033439085.1,RefSeq
Chaetomium strumarium,GCF_033439665.1,RefSeq
Chaetomium tenue,GCF_020726465.1,RefSeq
Cladophialophora bantiana,GCF_000835475.1,RefSeq
Cladophialophora carrionii,GCF_000365165.1,RefSeq
Cladophialophora psammophila,GCF_000585535.1,RefSeq
Cladophialophora yegresii,GCF_000585515.1,RefSeq
Clavispora lusitaniae,GCF_014636115.1,RefSeq
Coccidioides immitis,GCF_000149335.2,RefSeq
Cokeromyces recurvatus,GCF_025118155.1,RefSeq
Colletotrichum acutatum,GCF_030867785.1,RefSeq
Colletotrichum godetiae,GCF_030913485.1,RefSeq
Colletotrichum graminicola,GCF_000149035.1,RefSeq
Colletotrichum karsti,GCF_011947395.1,RefSeq
Colletotrichum navitas,GCF_030913465.1,RefSeq
Colletotrichum orchidophilum,GCF_001831195.1,RefSeq
Colletotrichum paranaense,GCF_030867605.1,RefSeq
Colletotrichum phormii,GCF_030913505.1,RefSeq
Colletotrichum tamarilloi,GCF_030869305.1,RefSeq
Coniosporium apollinis,GCF_000281105.1,RefSeq
Cryptococcus amylolentus,GCF_001720205.1,RefSeq
Cryptococcus bacillisporus,GCF_000836335.1,RefSeq
Cryptococcus decagattii,GCF_036417295.1,RefSeq
Cryptococcus deuterogattii,GCF_002954075.1,RefSeq
Cryptococcus gattii,GCF_000185945.1,RefSeq
Cryptococcus neoformans,GCF_000091045.1,RefSeq
Cryptococcus tetragattii,GCF_000835755.1,RefSeq
Cryptococcus wingfieldii,GCF_001720155.1,RefSeq
Cucurbitaria berberidis,GCF_010015615.1,RefSeq
Cyberlindnera jadinii,GCF_001661405.1,RefSeq
Cyphellophora europaea,GCF_000365145.1,RefSeq
Cystobasidium minutum,GCF_039999085.1,RefSeq
Daldinia caldariorum,GCF_022478825.1,RefSeq
Daldinia decipiens,GCF_022478715.1,RefSeq
Daldinia vernicosa,GCF_022497035.1,RefSeq
Debaryomyces fabryi,GCF_001447935.2,RefSeq
Debaryomyces hansenii,GCF_000006445.2,RefSeq
Desarmillaria tabescens,GCF_030435595.1,RefSeq
Diaporthe amygdali,GCF_026229845.1,RefSeq
Dichomitus squalens,GCF_000275845.1,RefSeq
Dichotomopilus funicola,GCF_033296635.1,RefSeq
Didymella exigua,GCF_010094145.1,RefSeq
Dioszegia hungarica,GCF_025882075.1,RefSeq
Diplodia corticola,GCF_001883845.1,RefSeq
Dipodascopsis tothii,GCF_038497935.1,RefSeq
Dothidotthia symphoricarpi,GCF_010015815.1,RefSeq
Drechmeria coniospora,GCF_001625195.1,RefSeq
Drepanopeziza brunnea,GCF_022702325.1,RefSeq
Durotheca rogersii,GCF_024521655.1,RefSeq
Emericellopsis atlantica,GCF_019669845.1,RefSeq
Eremothecium gossypii,GCF_000091025.4,RefSeq
Eremothecium sinecaudum,GCF_001548555.1,RefSeq
Exophiala aquamarina,GCF_000709125.1,RefSeq
Exophiala dermatitidis,GCF_000230625.1,RefSeq
Exophiala oligosperma,GCF_000835515.1,RefSeq
Exophiala spinifera,GCF_000836115.1,RefSeq
Exophiala viscosa,GCF_022695815.1,RefSeq
Exophiala xenobiotica,GCF_000835505.1,RefSeq
Fimicolochytrium jonesii,GCF_025526975.1,RefSeq
Fomitiporia mediterranea,GCF_000271605.1,RefSeq
Fonsecaea erecta,GCF_001651985.1,RefSeq
Fonsecaea multimorphosa,GCF_000836435.1,RefSeq
Fulvia fulva,GCF_020509005.1,RefSeq
Fusarium fujikuroi,GCF_900079805.1,RefSeq
Fusarium mangiferae,GCF_900044065.1,RefSeq
Fusarium odoratissimum,GCF_000260195.1,RefSeq
Fusarium proliferatum,GCF_900067095.1,RefSeq
Fusarium pseudograminearum,GCF_000303195.2,RefSeq
Fusarium redolens,GCF_020744475.1,RefSeq
Fusarium subglutinans,GCF_013396075.1,RefSeq
Fusarium vanettenii,GCF_000151355.1,RefSeq
Fusarium venenatum,GCF_020744135.1,RefSeq
Fusarium verticillioides,GCF_000149555.1,RefSeq
Gaeumannomyces tritici,GCF_000145635.1,RefSeq
Gamsiella multidivaricata,GCF_025024155.1,RefSeq
Gilbertella persicaria,GCF_025201335.1,RefSeq
Gloeophyllum trabeum,GCF_000344685.1,RefSeq
Halteromyces radiatus,GCF_025201355.1,RefSeq
Heterobasidion irregulare,GCF_000320585.1,RefSeq
