species,accession,annotation
Aedes aegypti,GCF_002204515.2,RefSeq
Agrotis ipsilon,GCA_028554685.2,BRAKER
Amphipyra tragopoginis,GCA_905220435.1,BRAKER
Anabrus simplex,GCF_040414725.1,RefSeq
Anastrepha ludens,GCF_028408465.1,BRAKER
Andrena minutula,GCA_929113495.1,BRAKER
Anopheles arabiensis,GCF_016920715.1,BRAKER
Anopheles stephensi,GCF_013141755.1,BRAKER
Dermacentor andersoni,GCF_023375885.2,RefSeq
Episyrphus balteatus,GCF_945859705.1,BRAKER
Lasiommata megera,GCA_928268935.1,BRAKER
Periplaneta americana,GCA_025594305.2,BRAKER
Phlebotomus papatasi,GCF_024763615.1,BRAKER
Pogonomyrmex californicus,GCA_024349325.1,BRAKER
Propsilocerus akamusi,GCA_018397935.1,BRAKER
Rhogogaster chlorosoma,GCA_944452935.1,BRAKER
Rhopalosiphum padi,GCA_020882245.1,BRAKER
Rhynchophorus ferrugineus,GCA_030347505.1,BRAKER
Scaptomyza flava,GCA_030179655.1,BRAKER
Schizaphis graminum,GCA_020882235.1,BRAKER
Schlechtendalia chinensis,GCA_019022885.1,BRAKER
Sipha flava,GCF_003268045.1,BRAKER
Sitobion avenae,GCA_019425605.1,BRAKER
Sitophilus oryzae,GCF_002938485.1,BRAKER
Sogatella furcifera,GCA_017141385.1,BRAKER
Solenopsis invicta,GCF_016802725.1,BRAKER
Spodoptera litura,GCF_002706865.2,BRAKER
Stomoxys calcitrans,GCF_963082655.1,RefSeq
Temnothorax longispinosus,GCA_030848805.1,BRAKER
Thrips palmi,GCF_012932325.1,BRAKER
Thymelicus sylvestris,GCA_911387775.1,BRAKER
Trichoplusia ni,GCF_003590095.1,BRAKER
Zeugodacus cucurbitae,GCF_028554725.1,BRAKER
