species,accession,annotation
Acipenser ruthenus,GCF_902713425.1,RefSeq
Bombina bombina,GCF_027579735.1,RefSeq
Carcharodon carcharias,GCF_017639515.1,RefSeq
Corvus hawaiiensis,GCF_020740725.1,RefSeq
Mobula birostris,GCF_030028105.1,RefSeq
Podarcis raffonei,GCF_027172205.1,RefSeq
Rana temporaria,GCF_905171775.1,RefSeq
Rhinatrema bivittatum,GCF_901001135.1,RefSeq
Cebus capucinus,GCF_001604975.1,RefSeq
Dipodomys ordii,GCF_000151885.1,RefSeq
Marmota marmota,GCF_001458135.1,RefSeq
Odobenus rosmarus,GCF_000321225.1,RefSeq
Panthera pardus,GCF_001857705.1,RefSeq
