split	species	file_stem
training	Cyclotella atomus	Cyclotella_atomus
training	Cyclotella choctawhatcheeana	Cyclotella_choctawhatcheeana
training	Conticribra guillardii	Conticribra_guillardii
training	Conticribra weissflogii	Conticribra_weissflogii
training	Skeletonema menzelii	Skeletonema_menzelii
training	Skeletonema potamos	Skeletonema_potamos
training	Discostella pseudostelligera	Discostella_pseudostelligera
training	Discostella stelligera	Discostella_stelligera
training	Stephanodiscus triporus	Stephanodiscus_triporus
training	Cyclostephanos invisitatus	Cyclostephanos_invisitatus
training	Thalassiosira mediterranea	Thalassiosira_mediterranea
training	Cylindrotheca closterium	Cylindrotheca_closterium
training	Pseudo-nitzschia multistriata	Pseudo-nitzschia_multistriata
training	Mayamaea pseudoterrestris	Mayamaea_pseudoterrestris
training	Seminavis robusta	Seminavis_robusta
training	Fragilaria crotonensis	Fragilaria_crotonensis
training	Asterionella formosa	Asterionella_formosa
training	Chaetoceros muelleri	Chaetoceros_muellerii
training	Chaetoceros tenuissimus	Chaetoceros_tenuissimus
validation	Nitzschia palea	Nitzschia_palea
validation	Skeletonema tropicum	Skeletonema_tropicum
test	Thalassiosira pseudonana	Thalassiosira_pseudonana
test	Phaeodactylum tricornutum	Phaeodactylcum_tricornutum
