split	species	file_stem
training	Acorus americanus	Aamericanusv1.1
training	Agave tequilana	AtequilanavarWebersBlueHAP1v3.1
training	Aquilegia coerulea	Acoeruleav3.1
training	Arundo donax	AdonaxvarAD10v1.1_A1
training	Beta vulgaris	BvulgarissspvulgarisEL10.2_2
training	Brassica rapa	BrapassprapavarrapaVT123v1.1
training	Brocchinia micrantha	BmicranthavarABG20031627HAP1v1.2
training	Capparis spinosa	Cspinosavarrupestrisv2.1
training	Chasmanthium laxum	Claxumv1.1
training	Citrus limon	ClimonHapOv1.2
training	Cleome violacea	Cviolaceav2.1
training	Coffea arabica	Carabicav1.1
training	Corylus avellana	CavellanaHAP1v4.0
training	Daucus carota	Dcarotasubspsativusv3.0
training	Dendrobium catenatum	Dendrobium_catenatum_GCF_001605985
training	Dioscorea alata	Dalatav2.1
training	Eucalyptus grandis	EgrandisvarTAG0014HAP1v4.1
training	Fragaria vesca	Fvescav4.0.a2
training	Glycine max	GmaxWm82ISU01v2.1
training	Gossypium hirsutum	GhirsutumDeltaPearlv1.1
training	Hydrocotyle leucocephala	HleucocephalaHAP1v2.1
training	Joinvillea ascendens	Jascendensv1.1
training	Lactuca sativa	Lsativa.LsPKU06
training	Lindenbergia philippensis	Lphilippensisv1.1
training	Malus domestica	MdomesticaWA_38v.a1
training	Manihot esculenta	Mesculentav8.1
training	Mentha longifolia	Mlongifolia.v4
training	Miscanthus sinensis	Msinensisv7.1
training	Moringa oleifera	MoleiferavarSKT01HAP1v1.1
training	Musa acuminata	Musa_acumitana_GCF_036884655_BXJ1
training	Myrothamnus flabellifolia	MflabellifoliavarSSDT_37HAP1v1.1
training	Nicotiana tabacum	NtabacumvarNtaSR1v1.0
training	Oryza sativa	OsativaKitaakev3.1
training	Osyris compressa	OcompressavarFLAS263054v1.1
training	Panicum virgatum	Pvirgatumv5.1_K
training	Pharus latifolius	Platifoliusv1.1
training	Phoenix dactylifera	Phoenix_dactylifera_CF_009389715
training	Setaria viridis	Sviridisv4.1
training	Sorghum bicolor	Sbicolorv5.1
training	Thinopyrum intermedium	Tintermediumv3.1_J
training	Ulmus americana	UamericanavarNA87034HAP1v1.1
training	Vitis vinifera	Vvinifera.v4
training	Yucca filamentosa	YfilamentosaC3priv2.1
training	Zea mays	ZmaysZm-B73-REFERENCE-NAM-5.0.55
training	Zingiber officinale	Zingiber_officinale_GCF_018446385_A
validation	Populus trichocarpa	Ptrichocarpav4.1
validation	Typha latifolia	Tlatifoliavar20196v1.1
test	Arabidopsis thaliana	AthalianacolumbiaAraport11
test	Brachypodium distachyon	Bdistachyon_GCF_000005505
test	Eschscholzia californica	EcalifornicavarAurantiacaOrangeKingPlant11HAP1v1.1
test	Freycinetia multiflora	FmultifloravarABG20040013HAP1v1.1
test	Medicago truncatula	MtrunA17r5.0
test	Mimulus guttatus	MguttatusvarIM62v3.1
test	Urochloa brizantha	UbrizanthavarCIAT_6780v1.1
